Number of hours worked last week,Marital status,Highest year of school completed,Rs income in constant $,Condition of health,Have gun in home,Hours per day watching tv,Time at current job,Respondents astrological sign
41,Married,14,13475,Good,Yes,1,-1,Taurus
37,Married,16,33075,Fair,No,3,-1,Aquarius
40,Never married,14,6738,Good,Yes,2,-1,Virgo
45,Married,14,26950,Good,No,4,-1,Libra
44,Never married,16,68600,Good,No,2,-1,Libra
40,Never married,13,11638,Good,No,1,-1,Libra
32,Married,15,49000,Good,No,1,-1,Leo
60,Never married,12,10413,Good,No,4,-1,Virgo
25,Married,15,22050,Good,Yes,2,-1,Leo
55,Married,17,40425,Excellent,No,2,-1,Sagittarius
20,Never married,10,980,Poor,Yes,5,-1,Taurus
27,Never married,12,2695,Good,Yes,4,-1,Libra
40,Married,10,15925,Fair,No,4,-1,Virgo
33,Never married,11,9188,Excellent,No,8,-1,Aquarius
40,Married,16,6738,Fair,Yes,4,-1,Leo
65,Married,14,33075,Good,Yes,1,-1,Pisces
80,Married,16,341672,Excellent,Yes,2,-1,Leo
40,Divorced,13,6738,Good,Yes,2,-1,Aquarius
40,Never married,16,9188,Good,No,2,-1,Libra
60,Married,18,49000,Excellent,Yes,0,-1,Sagittarius
38,Widowed,18,15925,Good,No,4,-1,Capricorn
12,Never married,14,2205,Fair,No,4,-1,Taurus
35,Married,12,18375,Excellent,No,2,-1,Virgo
48,Married,12,40425,Poor,No,8,-1,Aries
40,Married,20,22050,Fair,Yes,1,-1,Taurus
80,Widowed,8,5513,Good,Yes,0,-1,Capricorn
45,Never married,10,18375,Fair,No,1,-1,Aries
40,Never married,17,58800,Good,No,1,-1,Sagittarius
45,Married,14,33075,Excellent,Yes,2,-1,Cancer
16,Married,8,33075,Good,No,2,-1,Aries
20,Married,12,10413,Good,Yes,0,-1,Gemini
40,Married,10,13475,Excellent,No,4,-1,Capricorn
35,Married,12,13475,Good,No,0,-1,Taurus
30,Never married,10,3185,Fair,No,0,-1,Taurus
40,Married,12,9188,Fair,No,1,-1,Gemini
36,Married,6,5513,Good,No,2,-1,Sagittarius
40,Never married,19,26950,Good,No,3,-1,Leo
37,Married,14,13475,Fair,Yes,3,-1,Cancer
59,Married,16,22050,Excellent,No,1,-1,Aries
50,Married,18,49000,Excellent,No,1,-1,Pisces
20,Never married,15,11638,Excellent,No,5,-1,Capricorn
46,Married,14,9188,Fair,No,1,-1,Gemini
24,Divorced,16,18375,Good,No,3,-1,Pisces
46,Widowed,13,22050,Good,Yes,2,-1,Gemini
40,Married,16,26950,Excellent,Yes,1,-1,Leo
60,Never married,14,341672,Fair,No,1,-1,Taurus
25,Married,11,3675,Good,Yes,1,-1,Cancer
43,Married,15,13475,Good,Yes,3,-1,Taurus
36,Never married,12,980,Fair,Yes,1,-1,Taurus
42,Never married,14,13475,Good,No,2,-1,Aquarius
24,Never married,12,15925,Good,No,7,-1,Taurus
18,Never married,13,9188,Excellent,No,7,-1,Sagittarius
19,Never married,12,1715,Good,No,6,-1,Aquarius
40,Divorced,18,33075,Good,No,1,-1,Virgo
50,Divorced,18,40425,Good,No,2,-1,Leo
60,Married,15,22050,Excellent,No,2,-1,Taurus
89,Never married,16,58800,Excellent,No,1,-1,Cancer
60,Married,15,341672,Excellent,Yes,1,-1,Leo
40,Divorced,14,22050,Good,No,6,-1,Leo
35,Married,20,10413,Good,No,1,-1,Aquarius
52,Married,13,15925,Excellent,No,3,-1,Virgo
41,Never married,13,13475,Good,No,2,-1,Virgo
34,Widowed,12,5513,Good,No,7,-1,Leo
40,Married,20,341672,Good,No,0,-1,Leo
30,Never married,15,1715,Good,No,5,-1,Scorpio
4,Divorced,16,245,Fair,No,8,-1,Pisces
40,Divorced,13,18375,Good,No,3,-1,Capricorn
20,Married,16,11638,Excellent,No,1,-1,Scorpio
42,Married,14,26950,Good,Yes,3,-1,Scorpio
35,Married,17,10413,Excellent,Yes,1,-1,Taurus
36,Never married,15,15925,Good,No,1,-1,Gemini
40,Married,15,5513,Good,Refused,2,-1,Libra
60,Divorced,11,22050,Good,Yes,5,-1,Aquarius
20,Never married,13,15925,Good,Yes,6,-1,Leo
37,Married,8,9188,Fair,No,1,-1,Virgo
39,Married,13,13475,Fair,No,2,-1,Cancer
40,Married,16,58800,Excellent,Yes,0,-1,Capricorn
38,Never married,14,9188,Good,No,3,-1,Aries
20,Never married,12,3675,Good,No,2,-1,Aries
60,Divorced,12,18375,Good,Yes,6,-1,Pisces
44,Never married,12,5513,Excellent,No,6,-1,Aries
40,Married,16,18375,Fair,Yes,4,-1,Taurus
16,Divorced,16,10413,Good,Yes,2,-1,Cancer
35,Married,12,33075,Good,No,2,-1,Gemini
70,Never married,12,18375,Excellent,No,1,-1,Aquarius
40,Married,12,13475,Excellent,No,4,-1,Aries
40,Never married,12,22050,Excellent,Yes,3,-1,Scorpio
40,Married,16,49000,Excellent,No,2,-1,Leo
20,Never married,13,3185,Good,No,1,-1,Libra
30,Never married,13,10413,Fair,No,2,-1,Libra
55,Married,12,22050,Fair,Yes,2,-1,Capricorn
40,Married,16,33075,Good,Yes,3,-1,Capricorn
49,Married,16,15925,Excellent,No,3,-1,Scorpio
40,Divorced,12,10413,Good,No,1,-1,Pisces
